date,id,item_nbr,unit_sales,onpromotion,class,event_national,holiday_national,holiday_local,month,day_of_month,week_of_month,day_of_week,year,season,workday,wageday,month_sin,month_cos,day_of_month_sin,day_of_month_cos,week_of_month_sin,week_of_month_cos,day_of_week_sin,day_of_week_cos,season_sin,season_cos,tempmax,tempmin,oil_price,item_name
2015-01-02,38643255,502331,117,False,2702,False,True,False,1,2,1,5,2015,0,False,False,0.4999999999999999,0.8660254037844387,0.3943558551133185,0.9189578116202306,0.9510565162951536,0.3090169943749474,-0.9749279121818236,-0.2225209339563146,0.0,1.0,24.5,11.1,52.72,A
2015-01-03,38704801,502331,110,False,2702,False,False,False,1,3,1,6,2015,0,False,False,0.4999999999999999,0.8660254037844387,0.5712682150947923,0.8207634412072763,0.9510565162951536,0.3090169943749474,-0.7818314824680299,0.6234898018587334,0.0,1.0,24.6,7.2,52.72,A
2015-01-04,38765895,502331,180,False,2702,False,False,False,1,4,1,7,2015,0,False,False,0.4999999999999999,0.8660254037844387,0.7247927872291199,0.6889669190756866,0.9510565162951536,0.3090169943749474,-2.4492935982947064e-16,1.0,0.0,1.0,21.9,9.1,52.72,A
2015-01-05,38825684,502331,106,False,2702,False,False,False,1,5,1,1,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.8486442574947509,0.5289640103269624,0.9510565162951536,0.3090169943749474,0.7818314824680298,0.6234898018587336,0.0,1.0,22.7,7.1,50.05,A
2015-01-06,38883513,502331,87,False,2702,False,False,False,1,6,1,2,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.9377521321470804,0.3473052528448203,0.9510565162951536,0.3090169943749474,0.9749279121818236,-0.2225209339563143,0.0,1.0,24.7,8.1,47.98,A
2015-01-07,38941388,502331,62,False,2702,False,False,False,1,7,1,3,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.9884683243281114,0.1514277775045767,0.9510565162951536,0.3090169943749474,0.4338837391175582,-0.900968867902419,0.0,1.0,26.5,6.2,48.69,A
2015-01-08,38998485,502331,57,False,2702,False,False,False,1,8,2,4,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.5877852522924732,-0.8090169943749473,-0.433883739117558,-0.9009688679024191,0.0,1.0,24.1,11.0,48.8,A
2015-01-09,39055365,502331,52,False,2702,False,False,False,1,9,2,5,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.9680771188662044,-0.2506525322587204,0.5877852522924732,-0.8090169943749473,-0.9749279121818236,-0.2225209339563146,0.0,1.0,23.7,11.1,48.35,A
2015-01-10,39115767,502331,77,False,2702,False,False,False,1,10,2,6,2015,0,False,False,0.4999999999999999,0.8660254037844387,0.8978045395707416,-0.4403941515576344,0.5877852522924732,-0.8090169943749473,-0.7818314824680299,0.6234898018587334,0.0,1.0,22.7,11.9,48.35,A
2015-01-11,39176851,502331,140,False,2702,False,False,False,1,11,2,7,2015,0,False,False,0.4999999999999999,0.8660254037844387,0.7907757369376985,-0.6121059825476629,0.5877852522924732,-0.8090169943749473,-2.4492935982947064e-16,1.0,0.0,1.0,26.6,9.1,48.35,A
2015-01-12,39235382,502331,65,False,2702,False,False,False,1,12,2,1,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.6513724827222223,-0.7587581226927909,0.5877852522924732,-0.8090169943749473,0.7818314824680298,0.6234898018587336,0.0,1.0,25.7,11.9,46.06,A
2015-01-13,39291815,502331,53,False,2702,False,False,False,1,13,2,2,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.485301962531081,-0.8743466161445821,0.5877852522924732,-0.8090169943749473,0.9749279121818236,-0.2225209339563143,0.0,1.0,24.7,11.0,45.92,A
2015-01-14,39347832,502331,45,False,2702,False,False,False,1,14,2,3,2015,0,True,False,0.4999999999999999,0.8660254037844387,0.299363122973358,-0.9541392564000488,0.5877852522924732,-0.8090169943749473,0.4338837391175582,-0.900968867902419,0.0,1.0,24.7,9.9,48.49,A
2015-01-15,39403877,502331,55,False,2702,False,False,False,1,15,3,4,2015,0,True,True,0.4999999999999999,0.8660254037844387,0.1011683219874322,-0.9948693233918952,-0.587785252292473,-0.8090169943749476,-0.433883739117558,-0.9009688679024191,0.0,1.0,23.9,10.1,46.37,A
2015-01-16,39460510,502331,73,False,2702,False,False,False,1,16,3,5,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.101168321987432,-0.9948693233918952,-0.587785252292473,-0.8090169943749476,-0.9749279121818236,-0.2225209339563146,0.0,1.0,23.8,10.9,48.49,A
2015-01-17,39522183,502331,96,False,2702,False,False,False,1,17,3,6,2015,0,False,False,0.4999999999999999,0.8660254037844387,-0.2993631229733577,-0.9541392564000488,-0.587785252292473,-0.8090169943749476,-0.7818314824680299,0.6234898018587334,0.0,1.0,22.0,10.6,48.49,A
2015-01-18,39583578,502331,136,False,2702,False,False,False,1,18,3,7,2015,0,False,False,0.4999999999999999,0.8660254037844387,-0.4853019625310808,-0.8743466161445822,-0.587785252292473,-0.8090169943749476,-2.4492935982947064e-16,1.0,0.0,1.0,21.7,11.0,48.49,A
2015-01-19,39642150,502331,60,False,2702,False,False,False,1,19,3,1,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.651372482722222,-0.7587581226927911,-0.587785252292473,-0.8090169943749476,0.7818314824680298,0.6234898018587336,0.0,1.0,18.8,10.7,48.49,A
2015-01-20,39699458,502331,54,False,2702,False,False,False,1,20,3,2,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.7907757369376986,-0.6121059825476627,-0.587785252292473,-0.8090169943749476,0.9749279121818236,-0.2225209339563143,0.0,1.0,18.8,11.2,46.79,A
2015-01-21,39756239,502331,61,False,2702,False,False,False,1,21,3,3,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.8978045395707417,-0.4403941515576342,-0.587785252292473,-0.8090169943749476,0.4338837391175582,-0.900968867902419,0.0,1.0,18.8,11.0,47.85,A
2015-01-22,39812552,502331,53,False,2702,False,False,False,1,22,4,4,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.9680771188662044,-0.2506525322587205,-0.9510565162951536,0.3090169943749472,-0.433883739117558,-0.9009688679024191,0.0,1.0,18.8,10.8,45.93,A
2015-01-23,39869546,502331,60,False,2702,False,False,False,1,23,4,5,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.9987165071710528,-0.0506491688387126,-0.9510565162951536,0.3090169943749472,-0.9749279121818236,-0.2225209339563146,0.0,1.0,18.8,10.5,45.26,A
2015-01-24,39930943,502331,73,False,2702,False,False,False,1,24,4,6,2015,0,False,False,0.4999999999999999,0.8660254037844387,-0.9884683243281114,0.1514277775045766,-0.9510565162951536,0.3090169943749472,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.9,10.8,45.26,A
2015-01-25,39992068,502331,143,False,2702,False,False,False,1,25,4,7,2015,0,False,False,0.4999999999999999,0.8660254037844387,-0.9377521321470804,0.3473052528448203,-0.9510565162951536,0.3090169943749472,-2.4492935982947064e-16,1.0,0.0,1.0,24.6,10.6,45.26,A
2015-01-26,40050271,502331,55,False,2702,False,False,False,1,26,4,1,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.848644257494751,0.5289640103269624,-0.9510565162951536,0.3090169943749472,0.7818314824680298,0.6234898018587336,0.0,1.0,18.0,10.7,44.8,A
2015-01-27,40106273,502331,31,False,2702,False,False,False,1,27,4,2,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.72479278722912,0.6889669190756865,-0.9510565162951536,0.3090169943749472,0.9749279121818236,-0.2225209339563143,0.0,1.0,20.1,9.9,45.84,A
2015-01-28,40162126,502331,49,False,2702,False,False,False,1,28,4,3,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.5712682150947924,0.8207634412072763,-0.9510565162951536,0.3090169943749472,0.4338837391175582,-0.900968867902419,0.0,1.0,22.7,10.4,44.08,A
2015-01-29,40217827,502331,42,False,2702,False,False,False,1,29,5,4,2015,0,True,False,0.4999999999999999,0.8660254037844387,-0.3943558551133187,0.9189578116202306,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.8,10.2,44.12,A
2015-01-30,40275060,502331,64,False,2702,False,False,False,1,30,5,5,2015,0,True,True,0.4999999999999999,0.8660254037844387,-0.2012985200886602,0.9795299412524944,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,21.8,11.3,47.79,A
2015-01-31,40338128,502331,85,False,2702,False,False,False,1,31,5,6,2015,0,False,False,0.4999999999999999,0.8660254037844387,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.9,11.0,47.79,A
2015-02-01,40402151,502331,171,False,2702,False,False,False,2,1,1,7,2015,0,False,False,0.8660254037844386,0.5000000000000001,0.20129852008866,0.9795299412524944,0.9510565162951536,0.3090169943749474,-2.4492935982947064e-16,1.0,0.0,1.0,21.1,11.1,47.79,A
2015-02-02,40463737,502331,86,False,2702,False,False,False,2,2,1,1,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.3943558551133185,0.9189578116202306,0.9510565162951536,0.3090169943749474,0.7818314824680298,0.6234898018587336,0.0,1.0,22.7,9.9,49.25,A
2015-02-03,40523301,502331,66,False,2702,False,False,False,2,3,1,2,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763,0.9510565162951536,0.3090169943749474,0.9749279121818236,-0.2225209339563143,0.0,1.0,25.1,10.1,53.04,A
2015-02-04,40582047,502331,54,False,2702,False,False,False,2,4,1,3,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.7247927872291199,0.6889669190756866,0.9510565162951536,0.3090169943749474,0.4338837391175582,-0.900968867902419,0.0,1.0,25.7,10.3,48.45,A
2015-02-05,40640016,502331,38,False,2702,False,False,False,2,5,1,4,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624,0.9510565162951536,0.3090169943749474,-0.433883739117558,-0.9009688679024191,0.0,1.0,25.7,9.1,50.48,A
2015-02-06,40698023,502331,55,False,2702,False,False,False,2,6,1,5,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,0.9510565162951536,0.3090169943749474,-0.9749279121818236,-0.2225209339563146,0.0,1.0,25.8,10.1,51.66,A
2015-02-07,40759792,502331,87,False,2702,False,False,False,2,7,1,6,2015,0,False,False,0.8660254037844386,0.5000000000000001,0.9884683243281114,0.1514277775045767,0.9510565162951536,0.3090169943749474,-0.7818314824680299,0.6234898018587334,0.0,1.0,19.0,10.6,51.66,A
2015-02-08,40821559,502331,100,False,2702,False,False,False,2,8,2,7,2015,0,False,False,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.0506491688387126,0.5877852522924732,-0.8090169943749473,-2.4492935982947064e-16,1.0,0.0,1.0,19.1,10.8,51.66,A
2015-02-09,40881385,502331,76,False,2702,False,False,False,2,9,2,1,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.9680771188662044,-0.2506525322587204,0.5877852522924732,-0.8090169943749473,0.7818314824680298,0.6234898018587336,0.0,1.0,19.1,10.7,52.99,A
2015-02-10,40939527,502331,42,False,2702,False,False,False,2,10,2,2,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,0.5877852522924732,-0.8090169943749473,0.9749279121818236,-0.2225209339563143,0.0,1.0,22.1,10.9,50.06,A
2015-02-11,40997138,502331,43,False,2702,False,False,False,2,11,2,3,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.7907757369376985,-0.6121059825476629,0.5877852522924732,-0.8090169943749473,0.4338837391175582,-0.900968867902419,0.0,1.0,23.7,11.6,48.8,A
2015-02-12,41054553,502331,46,False,2702,False,False,False,2,12,2,4,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.6513724827222223,-0.7587581226927909,0.5877852522924732,-0.8090169943749473,-0.433883739117558,-0.9009688679024191,0.0,1.0,22.7,11.4,51.17,A
2015-02-13,41114614,502331,59,False,2702,False,False,False,2,13,2,5,2015,0,True,False,0.8660254037844386,0.5000000000000001,0.485301962531081,-0.8743466161445821,0.5877852522924732,-0.8090169943749473,-0.9749279121818236,-0.2225209339563146,0.0,1.0,22.4,12.1,52.66,A
2015-02-14,41178020,502331,64,False,2702,False,False,False,2,14,2,6,2015,0,False,False,0.8660254037844386,0.5000000000000001,0.299363122973358,-0.9541392564000488,0.5877852522924732,-0.8090169943749473,-0.7818314824680299,0.6234898018587334,0.0,1.0,22.9,11.1,52.66,A
2015-02-15,41237236,502331,75,False,2702,False,False,False,2,15,3,7,2015,0,False,True,0.8660254037844386,0.5000000000000001,0.1011683219874322,-0.9948693233918952,-0.587785252292473,-0.8090169943749476,-2.4492935982947064e-16,1.0,0.0,1.0,21.8,11.1,52.66,A
2015-02-16,41295005,502331,77,False,2702,False,True,False,2,16,3,1,2015,0,False,False,0.8660254037844386,0.5000000000000001,-0.101168321987432,-0.9948693233918952,-0.587785252292473,-0.8090169943749476,0.7818314824680298,0.6234898018587336,0.0,1.0,24.8,10.1,52.66,A
2015-02-17,41354239,502331,76,False,2702,False,True,False,2,17,3,2,2015,0,False,False,0.8660254037844386,0.5000000000000001,-0.2993631229733577,-0.9541392564000488,-0.587785252292473,-0.8090169943749476,0.9749279121818236,-0.2225209339563143,0.0,1.0,24.9,9.9,53.56,A
2015-02-18,41415811,502331,78,False,2702,False,False,False,2,18,3,3,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.4853019625310808,-0.8743466161445822,-0.587785252292473,-0.8090169943749476,0.4338837391175582,-0.900968867902419,0.0,1.0,23.1,9.1,52.13,A
2015-02-19,41476094,502331,56,False,2702,False,False,False,2,19,3,4,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,-0.587785252292473,-0.8090169943749476,-0.433883739117558,-0.9009688679024191,0.0,1.0,21.1,10.8,51.12,A
2015-02-20,41536689,502331,55,False,2702,False,False,False,2,20,3,5,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,-0.587785252292473,-0.8090169943749476,-0.9749279121818236,-0.2225209339563146,0.0,1.0,21.2,10.3,49.95,A
2015-02-21,41600049,502331,82,False,2702,False,False,False,2,21,3,6,2015,0,False,False,0.8660254037844386,0.5000000000000001,-0.8978045395707417,-0.4403941515576342,-0.587785252292473,-0.8090169943749476,-0.7818314824680299,0.6234898018587334,0.0,1.0,24.1,7.8,49.95,A
2015-02-22,41663722,502331,147,False,2702,False,False,False,2,22,4,7,2015,0,False,False,0.8660254037844386,0.5000000000000001,-0.9680771188662044,-0.2506525322587205,-0.9510565162951536,0.3090169943749472,-2.4492935982947064e-16,1.0,0.0,1.0,22.6,9.3,49.95,A
2015-02-23,41724291,502331,71,False,2702,False,False,False,2,23,4,1,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.9987165071710528,-0.0506491688387126,-0.9510565162951536,0.3090169943749472,0.7818314824680298,0.6234898018587336,0.0,1.0,22.8,10.9,49.56,A
2015-02-24,41783355,502331,44,False,2702,False,False,False,2,24,4,2,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.1514277775045766,-0.9510565162951536,0.3090169943749472,0.9749279121818236,-0.2225209339563143,0.0,1.0,21.1,9.7,48.48,A
2015-02-25,41841790,502331,60,False,2702,False,False,False,2,25,4,3,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203,-0.9510565162951536,0.3090169943749472,0.4338837391175582,-0.900968867902419,0.0,1.0,22.9,10.7,50.25,A
2015-02-26,41899417,502331,43,False,2702,False,False,False,2,26,4,4,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.848644257494751,0.5289640103269624,-0.9510565162951536,0.3090169943749472,-0.433883739117558,-0.9009688679024191,0.0,1.0,22.9,12.9,47.65,A
2015-02-27,41958735,502331,56,False,2702,False,False,False,2,27,4,5,2015,0,True,False,0.8660254037844386,0.5000000000000001,-0.72479278722912,0.6889669190756865,-0.9510565162951536,0.3090169943749472,-0.9749279121818236,-0.2225209339563146,0.0,1.0,21.0,12.0,49.84,A
2015-02-28,42023251,502331,92,False,2702,False,False,False,2,28,4,6,2015,0,False,False,0.8660254037844386,0.5000000000000001,-0.5712682150947924,0.8207634412072763,-0.9510565162951536,0.3090169943749472,-0.7818314824680299,0.6234898018587334,0.0,1.0,21.0,11.1,49.84,A
2015-03-01,42089098,502331,174,False,2702,False,False,False,3,1,1,7,2015,1,False,False,1.0,6.123233995736766e-17,0.20129852008866,0.9795299412524944,0.9510565162951536,0.3090169943749474,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,22.9,10.7,49.84,A
